Lettera;Codice Ateco 2007;Descrizione
A;016209;Altre attività di supporto alla produzione animale (esclusi i servizi veterinari)
A;0163;Attività successive alla raccolta
A;01630;Attività che seguono la raccolta
A;016300;Attività che seguono la raccolta
A;0164;Lavorazione delle sementi per la semina
A;01640;Lavorazione delle sementi per la semina
A;016401;Pulitura e cernita di semi e granaglie
A;016409;Altre lavorazioni delle sementi per la semina
A;017;CACCIA, CATTURA DI ANIMALI E SERVIZI CONNESSI
A;0170;Caccia, cattura di animali e servizi connessi
A;01700;Caccia, cattura di animali e servizi connessi
A;017000;Caccia, cattura di animali e servizi connessi
A;02;SILVICOLTURA ED UTILIZZO DI AREE FORESTALI
A;021;SILVICOLTURA ED ALTRE ATTIVITÀ FORESTALI
A;0210;Silvicoltura ed altre attività forestali
A;02100;Silvicoltura e altre attività forestali
A;021000;Silvicoltura e altre attività forestali
A;022;UTILIZZO DI AREE FORESTALI
A;0220;Utilizzo di aree forestali
A;02200;Utilizzo di aree forestali
A;022000;Utilizzo di aree forestali
A;023;RACCOLTA DI PRODOTTI SELVATICI NON LEGNOSI
A;0230;Raccolta di prodotti selvatici non legnosi
A;02300;Raccolta di prodotti selvatici non legnosi
A;023000;Raccolta di prodotti selvatici non legnosi
A;024;SERVIZI DI SUPPORTO PER LA SILVICOLTURA
A;0240;Servizi di supporto per la silvicoltura
A;02400;Servizi di supporto per la silvicoltura
A;024000;Servizi di supporto per la silvicoltura
A;03;PESCA E ACQUACOLTURA
A;031;PESCA
A;0311;Pesca marina
A;03110;Pesca in acque marine e lagunari e servizi connessi
A;031100;Pesca in acque marine e lagunari e servizi connessi
A;0312;Pesca in acque dolci
A;03120;Pesca in acque dolci e servizi connessi
A;031200;Pesca in acque dolci e servizi connessi
A;032;ACQUACOLTURA
A;0321;Acquacoltura marina
A;03210;Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi
A;032100;Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi
A;0322;Acquacoltura in acque dolci
A;03220;Acquacoltura in acque dolci e servizi connessi
A;032200;Acquacoltura in acque dolci e servizi connessi
B;B;ESTRAZIONE DI MINERALI DA CAVE E MINIERE
B;05;ESTRAZIONE DI CARBONE (ESCLUSA TORBA)
B;051;ESTRAZIONE DI ANTRACITE
B;0510;Estrazione di antracite
B;05100;Estrazione di antracite e litantrace
B;051000;Estrazione di antracite e litantrace
B;052;ESTRAZIONE DI LIGNITE
B;0520;Estrazione di lignite
B;05200;Estrazione di lignite
B;052000;Estrazione di lignite
B;06;ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE
B;061;ESTRAZIONE DI PETROLIO GREGGIO
B;0610;Estrazione di petrolio greggio
B;06100;Estrazione di petrolio greggio
B;061000;Estrazione di petrolio greggio
B;062;ESTRAZIONE DI GAS NATURALE
B;0620;Estrazione di gas naturale
B;06200;Estrazione di gas naturale
B;062000;Estrazione di gas naturale
B;07;ESTRAZIONE DI MINERALI METALLIFERI
B;071;ESTRAZIONE DI MINERALI METALLIFERI FERROSI
B;0710;Estrazione di minerali metalliferi ferrosi
B;07100;Estrazione di minerali metalliferi ferrosi
B;071000;Estrazione di minerali metalliferi ferrosi
B;072;ESTRAZIONE DI MINERALI METALLIFERI NON FERROSI
B;0721;Estrazione di minerali di uranio e di torio
B;07210;Estrazione di minerali di uranio e di torio
B;072100;Estrazione di minerali di uranio e di torio
B;0729;Estrazione di altri minerali metalliferi non ferrosi
B;07290;Estrazione di altri minerali metalliferi non ferrosi
B;072900;Estrazione di altri minerali metalliferi non ferrosi
B;08;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE
B;081;ESTRAZIONE DI PIETRA, SABBIA E ARGILLA
B;0811;Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia
B;08110;Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia
B;081100;Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia
B;0812;"Estrazione di ghiaia e sabbia; estrazione di argille e caolino"
B;08120;"Estrazione di ghiaia, sabbia; estrazione di argille e caolino"
B;081200;"Estrazione di ghiaia, sabbia; estrazione di argille e caolino"
B;089;ESTRAZIONE DI MINERALI DA CAVE E MINIERE NCA
B;0891;Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
B;08910;Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
B;089100;Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
B;0892;Estrazione di torba
B;08920;Estrazione di torba
B;089200;Estrazione di torba
B;0893;Estrazione di sale
B;08930;Estrazione di sale
B;089300;Estrazione di sale
B;0899;Estrazione di altri minerali da cave e miniere nca
B;08990;Estrazione di altri minerali nca
B;089901;Estrazione di asfalto e bitume naturale
B;089909;Estrazione di pomice e di altri minerali nca
B;09;ATTIVITÀ DEI SERVIZI DI SUPPORTO ALL'ESTRAZIONE
B;091;ATTIVITÀ DI SUPPORTO ALL'ESTRAZIONE DI PETROLIO E DI GAS NATURALE
B;0910;Attività di supporto all'estrazione di petrolio e di gas naturale
B;09100;Attività di supporto all'estrazione di petrolio e di gas naturale
B;091000;Attività di supporto all'estrazione di petrolio e di gas naturale
B;099;ATTIVITÀ DI SUPPORTO PER L'ESTRAZIONE DA CAVE E MINIERE DI ALTRI MINERALI
B;0990;Attività di supporto per l'estrazione da cave e miniere di altri minerali
B;09900;Attività di supporto per l'estrazione da cave e miniere di altri minerali
B;099001;Attività di supporto all'estrazione di pietre ornamentali, da costruzione, da gesso, di anidrite, per calce e cementi, di dolomite, di ardesia, di ghiaia e sabbia, di argilla, di caolino, di pomice
B;099009;Attività di supporto all'estrazione di altri minerali nca
C;C;ATTIVITÀ MANIFATTURIERE
C;10;INDUSTRIE ALIMENTARI
C;101;LAVORAZIONE E CONSERVAZIONE DI CARNE E PRODUZIONE DI PRODOTTI A BASE DI CARNE
C;1011;Lavorazione e conservazione di carne (escluso volatili)
C;10110;Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi)
C;101100;Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi)
C;1012;Lavorazione e conservazione di carne di volatili
C;10120;Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi)
C;101200;Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi)
C;1013;Produzione di prodotti a base di carne (inclusa la carne di volatili)
C;10130;Produzione di prodotti a base di carne (inclusa la carne di volatili)
C;101300;Produzione di prodotti a base di carne (inclusa la carne di volatili)
C;102;LAVORAZIONE E CONSERVAZIONE DI PESCE, CROSTACEI E MOLLUSCHI
C;1020;Lavorazione e conservazione di pesce, crostacei e molluschi
C;10200;Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera
C;102000;Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera
C;103;LAVORAZIONE E CONSERVAZIONE DI FRUTTA E ORTAGGI
C;1031;Lavorazione e conservazione delle patate
C;10310;Lavorazione e conservazione delle patate
C;103100;Lavorazione e conservazione delle patate
C;1032;Produzione di succhi di frutta e di ortaggi
C;10320;Produzione di succhi di frutta e di ortaggi
C;103200;Produzione di succhi di frutta e di ortaggi
C;1039;Altra Lavorazione e conservazione di frutta e di ortaggi
C;10390;Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi)
C;103900;Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi)
C;104;PRODUZIONE DI OLI E GRASSI VEGETALI E ANIMALI
C;1041;Produzione di oli e grassi
C;10411;Produzione di olio di oliva da olive prevalentemente non di produzione propria
C;104110;Produzione di olio di oliva da olive prevalentemente non di produzione propria
C;10412;Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria
C;104120;Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria
C;10413;Produzione di oli e grassi animali grezzi o raffinati
C;104130;Produzione di oli e grassi animali grezzi o raffinati
C;1042;Produzione di margarina e di grassi commestibili simili
C;10420;Produzione di margarina e di grassi commestibili simili
C;104200;Produzione di margarina e di grassi commestibili simili
C;105;INDUSTRIA LATTIERO-CASEARIA
C;1051;Industria lattiero-casearia, trattamento igienico, conservazione del latte
C;10511;Trattamento igienico del latte
C;105110;Trattamento igienico del latte
C;10512;Produzione dei derivati del latte
C;105120;Produzione dei derivati del latte
C;1052;Produzione di gelati
C;10520;Produzione di gelati senza vendita diretta al pubblico
C;105200;Produzione di gelati senza vendita diretta al pubblico
C;106;LAVORAZIONE DELLE GRANAGLIE, PRODUZIONE DI AMIDI E DI PRODOTTI AMIDACEI
C;1061;Lavorazione delle granaglie
C;10611;Molitura del frumento
C;106110;Molitura del frumento
C;10612;Molitura di altri cereali
C;106120;Molitura di altri cereali
C;10613;Lavorazione del riso
C;106130;Lavorazione del riso
C;10614;Altre lavorazioni di semi e granaglie
C;106140;Altre lavorazioni di semi e granaglie
C;1062;Produzione di amidi e di prodotti amidacei
C;10620;Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais)
C;106200;Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais)
C;107;PRODUZIONE DI PRODOTTI DA FORNO E FARINACEI
C;1071;"Produzione di pane; prodotti di pasticceria freschi"
C;10711;Produzione di prodotti di panetteria freschi
C;107110;Produzione di prodotti di panetteria freschi
C;10712;Produzione di pasticceria fresca
C;107120;Produzione di pasticceria fresca
C;1072;"Produzione di fette biscottate e di biscotti; produzione di prodotti di pasticceria conservati"
C;10720;"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati"
C;107200;"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati"
C;1073;Produzione di paste alimentari, di cuscus e di prodotti farinacei simili
C;10730;Produzione di paste alimentari, di cuscus e di prodotti farinacei simili
C;107300;Produzione di paste alimentari, di cuscus e di prodotti farinacei simili
C;108;PRODUZIONE DI ALTRI PRODOTTI ALIMENTARI
C;1081;Produzione di zucchero
C;10810;Produzione di zucchero
C;108100;Produzione di zucchero
C;1082;Produzione di cacao, cioccolato, caramelle e confetterie
C;10820;Produzione di cacao in polvere, cioccolato, caramelle e confetterie
C;108200;Produzione di cacao in polvere, cioccolato, caramelle e confetterie
C;1083;Lavorazione del tè e del caffè
C;10830;Lavorazione del tè e del caffè
C;108301;Lavorazione del caffè
C;108302;Lavorazione del tè e di altri preparati per infusi
C;1084;Produzione di condimenti e spezie
C;10840;Produzione di condimenti e spezie
C;108400;Produzione di condimenti e spezie
C;1085;Produzione di pasti e piatti preparati
C;10850;Produzione di pasti e piatti pronti (preparati, conditi, cucinati e confezionati)
C;108501;Produzione di piatti pronti a base di carne e pollame
C;108502;Produzione di piatti pronti a base di pesce, inclusi fish and chips
C;108503;Produzione di piatti pronti a base di ortaggi
C;108504;Produzione di pizza confezionata
C;108505;Produzione di piatti pronti a base di pasta
C;108509;Produzione di pasti e piatti pronti di altri prodotti alimentari
C;1086;Produzione di preparati omogeneizzati e di alimenti dietetici
C;10860;Produzione di preparati omogeneizzati e di alimenti dietetici
C;108600;Produzione di preparati omogeneizzati e di alimenti dietetici
C;1089;Produzione di prodotti alimentari nca
C;10890;Produzione di prodotti alimentari nca
C;108901;Produzione di estratti e succhi di carne
C;108909;Produzione di altri prodotti alimentari nca
C;109;PRODUZIONE DI PRODOTTI PER L'ALIMENTAZIONE DEGLI ANIMALI
C;1091;Produzione di mangimi per l'alimentazione degli animali da allevamento
C;10910;Produzione di mangimi per l'alimentazione degli animali da allevamento
C;109100;Produzione di mangimi per l'alimentazione degli animali da allevamento
C;1092;Produzione di prodotti per l'alimentazione degli animali da compagnia
C;10920;Produzione di prodotti per l'alimentazione degli animali da compagnia
C;109200;Produzione di prodotti per l'alimentazione degli animali da compagnia
C;11;INDUSTRIA DELLE BEVANDE
C;110;INDUSTRIA DELLE BEVANDE
C;1101;Distillazione, rettifica e miscelatura degli alcolici
C;11010;Distillazione, rettifica e miscelatura degli alcolici
C;110100;Distillazione, rettifica e miscelatura degli alcolici
C;1102;Produzione di vini da uve
C;11021;Produzione di vini da tavola e v.q.p.r.d.
C;110210;Produzione di vini da tavola e v.q.p.r.d.
C;11022;Produzione di vino spumante e altri vini speciali
C;110220;Produzione di vino spumante e altri vini speciali
C;1103;Produzione di sidro e di altri vini a base di frutta
C;11030;Produzione di sidro e di altri vini a base di frutta
C;110300;Produzione di sidro e di altri vini a base di frutta
C;1104;Produzione di altre bevande fermentate non distillate
C;11040;Produzione di altre bevande fermentate non distillate
C;110400;Produzione di altre bevande fermentate non distillate
C;1105;Produzione di birra
C;11050;Produzione di birra
C;110500;Produzione di birra
C;1106;Produzione di malto
C;11060;Produzione di malto
C;110600;Produzione di malto
C;1107;Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia
C;11070;Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia
C;110700;Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia
C;12;INDUSTRIA DEL TABACCO
C;120;INDUSTRIA DEL TABACCO
C;1200;Industria del tabacco
C;12000;Industria del tabacco
C;120000;Industria del tabacco
C;13;INDUSTRIE TESSILI
C;131;PREPARAZIONE E FILATURA DI FIBRE TESSILI
C;1310;Preparazione e filatura di fibre tessili
C;13100;Preparazione e filatura di fibre tessili
C;131000;Preparazione e filatura di fibre tessili
C;132;TESSITURA
C;1320;Tessitura
C;13200;Tessitura
C;132000;Tessitura
C;133;FINISSAGGIO DEI TESSILI
C;1330;Finissaggio dei tessili
C;13300;Finissaggio dei tessili, degli articoli di vestiario e attività similari
C;133000;Finissaggio dei tessili, degli articoli di vestiario e attività similari
C;139;ALTRE INDUSTRIE TESSILI
C;1391;Fabbricazione di tessuti a maglia
C;13910;Fabbricazione di tessuti a maglia
C;139100;Fabbricazione di tessuti a maglia
C;1392;Confezionamento di articoli tessili (esclusi gli articoli di abbigliamento)
C;13921;Confezionamento di biancheria da letto, da tavola e per l'arredamento
C;139210;Confezionamento di biancheria da letto, da tavola e per l'arredamento
C;13922;Fabbricazione di articoli in materie tessili nca
C;139220;Fabbricazione di articoli in materie tessili nca
C;1393;Fabbricazione di tappeti e moquette
C;13930;Fabbricazione di tappeti e moquette
C;139300;Fabbricazione di tappeti e moquette
C;1394;Fabbricazione di spago, corde, funi e reti
C;13940;Fabbricazione di spago, corde, funi e reti
C;139400;Fabbricazione di spago, corde, funi e reti
C;1395;Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento)
C;13950;Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento)
C;139500;Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento)
C;1396;Fabbricazione di articoli tessili tecnici ed industriali
C;13961;Fabbricazione di nastri, etichette e passamanerie di fibre tessili
C;139610;Fabbricazione di nastri, etichette e passamanerie di fibre tessili
C;13962;Fabbricazione di altri articoli tessili tecnici ed industriali
C;139620;Fabbricazione di altri articoli tessili tecnici ed industriali
C;1399;Fabbricazione di altri prodotti tessili nca
C;13991;Fabbricazione di ricami
C;139910;Fabbricazione di ricami
C;13992;Fabbricazione di tulle, pizzi e merletti
C;139920;Fabbricazione di tulle, pizzi e merletti
C;13999;Fabbricazione di feltro e articoli tessili diversi
C;139990;Fabbricazione di feltro e articoli tessili diversi
C;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA"
C;141;CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO (ESCLUSO ABBIGLIAMENTO IN PELLICCIA)
C;1411;Confezione di abbigliamento in pelle
C;14110;Confezione di abbigliamento in pelle e similpelle
C;141100;Confezione di abbigliamento in pelle e similpelle
C;1412;Confezione di indumenti da lavoro
C;14120;Confezione di camici, divise ed altri indumenti da lavoro
C;141200;Confezione di camici, divise ed altri indumenti da lavoro
C;1413;Confezione di altro abbigliamento esterno
C;14131;Confezione in serie di abbigliamento esterno
C;141310;Confezione in serie di abbigliamento esterno
C;14132;Sartoria e confezione su misura di abbigliamento esterno
C;141320;Sartoria e confezione su misura di abbigliamento esterno
C;1414;Confezione di biancheria intima
C;14140;Confezione di camicie, T-shirt, corsetteria e altra biancheria intima
C;141400;Confezione di camicie, T-shirt, corsetteria e altra biancheria intima
C;1419;Confezione di altri articoli di abbigliamento ed accessori
C;14191;Confezioni varie e accessori per l'abbigliamento
C;141910;Confezioni varie e accessori per l'abbigliamento
C;14192;Confezioni di abbigliamento sportivo o indumenti particolari
C;141921;Fabbricazione di calzature realizzate in materiale tessile senza suole applicate
C;141929;Confezioni di abbigliamento sportivo o di altri indumenti particolari
C;142;CONFEZIONE DI ARTICOLI IN PELLICCIA
C;1420;Confezione di articoli in pelliccia
C;14200;Confezione di articoli in pelliccia
C;142000;Confezione di articoli in pelliccia
C;143;FABBRICAZIONE DI ARTICOLI DI MAGLIERIA
C;1431;Fabbricazione di articoli di calzetteria in maglia
C;14310;Fabbricazione di articoli di calzetteria in maglia
C;143100;Fabbricazione di articoli di calzetteria in maglia
C;1439;Fabbricazione di altri articoli di maglieria
C;14390;Fabbricazione di pullover, cardigan ed altri articoli simili a maglia
C;143900;Fabbricazione di pullover, cardigan ed altri articoli simili a maglia
C;15;FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI
C;151;"PREPARAZIONE E CONCIA DEL CUOIO; FABBRICAZIONE DI ARTICOLI DA VIAGGIO, BORSE, PELLETTERIA E SELLERIA; PREPARAZIONE E TINTURA DI PELLICCE"
C;1511;"Preparazione e concia del cuoio; preparazione e tintura di pellicce"
C;15110;"Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce"
C;151100;"Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce"
C;1512;Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria
C;15120;Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria
C;151201;Fabbricazione di frustini e scudisci per equitazione
C;151209;Fabbricazione di altri articoli da viaggio, borse e simili, pelletteria e selleria
C;152;FABBRICAZIONE DI CALZATURE
C;1520;Fabbricazione di calzature
C;15201;Fabbricazione di calzature
C;152010;Fabbricazione di calzature
C;15202;Fabbricazione di parti in cuoio per calzature
C;152020;Fabbricazione di parti in cuoio per calzature
C;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLUSI I MOBILI); FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO"
C;161;TAGLIO E PIALLATURA DEL LEGNO
C;1610;Taglio e piallatura del legno
C;16100;Taglio e piallatura del legno
C;161000;Taglio e piallatura del legno
C;162;FABBRICAZIONE DI PRODOTTI IN LEGNO, SUGHERO, PAGLIA E MATERIALI DA INTRECCIO
C;1621;Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
C;16210;Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
C;162100;Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
C;1622;Fabbricazione di pavimenti in parquet assemblato
C;16220;Fabbricazione di pavimenti in parquet assemblato
C;162200;Fabbricazione di pavimenti in parquet assemblato
C;1623;Fabbricazione di altri prodotti di carpenteria in legno e falegnameria per l'edilizia
C;16231;Fabbricazione di porte e finestre in legno (escluse porte blindate)
C;162310;Fabbricazione di porte e finestre in legno (escluse porte blindate)
C;16232;Fabbricazione di stand, strutture simili per convegni e fiere e altri elementi in legno e di falegnameria per l'edilizia 
C;162320;
C;162321;Fabbricazione di stand e altre strutture simili per convegni e fiere prevalentemente in legno
C;162322;Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia (esclusi stand e strutture simili per convegni e fiere)
C;1624;Fabbricazione di imballaggi in legno
C;16240;Fabbricazione di imballaggi in legno
C;162400;Fabbricazione di imballaggi in legno
C;1629;Fabbricazione di altri prodotti in legno, sughero, paglia e materiali da intreccio
C;16291;Fabbricazione di prodotti vari in legno (esclusi i mobili)
C;162911;Fabbricazione di parti in legno per calzature
C;162912;Fabbricazione di manici di ombrelli, bastoni e simili
C;162919;Fabbricazione di altri prodotti vari in legno (esclusi i mobili)
C;16292;Fabbricazione dei prodotti della lavorazione del sughero
C;162920;Fabbricazione dei prodotti della lavorazione del sughero
C;16293;Fabbricazione di articoli in paglia e materiali da intreccio
C;162930;Fabbricazione di articoli in paglia e materiali da intreccio
C;16294;Laboratori di corniciai
C;162940;Laboratori di corniciai
C;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA
C;171;FABBRICAZIONE DI PASTA-CARTA, CARTA E CARTONE
C;1711;Fabbricazione di pasta-carta
C;17110;Fabbricazione di pasta-carta
C;171100;Fabbricazione di pasta-carta
C;1712;Fabbricazione di carta e cartone
C;17120;Fabbricazione di carta e cartone
C;171200;Fabbricazione di carta e cartone
C;172;FABBRICAZIONE DI ARTICOLI DI CARTA E CARTONE
C;1721;Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone
C;17210;Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone (esclusi quelli in carta pressata)
C;172100;Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone (esclusi quelli in carta pressata)
C;1722;Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa
C;17220;Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa
