PROVINCIA;Comune;DOMANDE DL;DOMANDE DG;TOT;DI CUI ACCOLTE;CANTIERI AVVIATI;CANTIERI CONCLUSI;DL;DG;DOMANDE / EDIFICI INAGIBILI DL;DOMANDE / EDIFICI INAGIBILI DL
Macerata;Penna San Giovanni;57;17;74;21;21;14;127;247;45%;7%
Macerata;San Ginesio;205;145;350;170;170;100;457;1.136;45%;13%
Macerata;Sant'Angelo in Pontano;69;29;98;39;39;23;155;287;45%;10%
Macerata;Corridonia;98;18;116;47;47;32;221;256;44%;7%
Macerata;Colmurano;39;17;56;17;17;8;90;208;43%;8%
Macerata;Cessapalombo;53;17;70;23;23;14;125;319;42%;5%
Macerata;Pieve Torina;115;101;216;76;76;28;271;1.124;42%;9%
Macerata;Caldarola;84;39;123;61;61;34;199;607;42%;6%
Ascoli Piceno;Montemonaco;72;41;113;59;59;27;171;259;42%;16%
Macerata;Ripe San Ginesio;27;13;40;18;18;8;65;116;42%;11%
Ascoli Piceno;Colli del Tronto;16;9;25;13;13;7;38;29;42%;31%
Macerata;Petriolo;39;5;44;22;22;13;95;155;41%;3%
Fermo;Montefortino;93;29;122;65;65;28;229;278;41%;10%
Fermo;Amandola;140;53;193;85;85;32;350;596;40%;9%
Ascoli Piceno;Palmiano;10;1;11;10;10;8;26;58;39%;2%
Ascoli Piceno;Force;57;28;85;39;39;19;146;248;39%;11%
Macerata;Treia;102;46;148;76;76;54;262;588;39%;8%
Ascoli Piceno;Venarotta;44;30;74;34;34;16;113;121;39%;25%
Macerata;Mogliano;63;16;79;40;40;27;165;216;38%;7%
Fermo;Smerillo;10;6;16;13;13;9;26;67;38%;9%
Fermo;Santa Vittoria in Matenano;19;8;27;16;16;9;50;90;38%;9%
Ascoli Piceno;Montalto delle Marche;29;20;49;15;15;8;79;130;37%;15%
Macerata;Visso;109;64;173;70;70;32;306;853;36%;7%
Macerata;Monte San Martino;24;21;45;13;13;8;68;182;35%;12%
Macerata;Bolognola;22;11;33;15;15;9;63;55;35%;20%
Macerata;Gualdo;47;47;94;38;38;19;135;389;35%;12%
Macerata;Ussita;41;63;104;21;21;6;128;815;32%;8%
Macerata;Muccia;40;64;104;41;41;22;127;572;32%;11%
Fermo;Monsampietro Morico;7;3;10;4;4;1;23;92;31%;3%
Ascoli Piceno;Montegallo;77;51;128;69;69;42;258;589;30%;9%
Fermo;Monte Vidon Corrado;3;1;4;3;3;2;11;23;27%;4%
Ascoli Piceno;Arquata del Tronto;60;100;160;85;85;40;294;1.776;20%;6%
Macerata;Castelsantangelo sul Nera;6;20;26;6;6;3;81;959;7%;2%
Teramo;Rocca Santa Maria;38;10;48;15;15;3;51;107;75%;9%
Teramo;Castel Castagna;23;34;57;20;20;10;31;68;73%;50%
Teramo;Colledara;89;2;91;14;14;5;143;116;62%;2%
Teramo;Torricella Sicura;107;28;135;29;29;10;173;184;62%;15%
Teramo;Campli;139;22;161;27;27;10;228;283;61%;8%
Teramo;Montorio al Vomano;297;26;323;63;63;33;521;305;57%;9%
Teramo;Crognaleto;157;5;162;10;10;5;278;186;57%;3%
Teramo;Teramo;420;86;506;102;102;44;746;640;56%;13%
Pescara;Farindola;23;8;31;3;3;-;43;59;53%;14%
L'Aquila;Capitignano;124;10;134;15;15;8;252;164;49%;6%
Teramo;Isola del Gran Sasso d'Italia;79;24;103;13;13;4;166;146;48%;16%
Teramo;Tossicia;52;14;66;13;13;11;112;185;47%;8%
L'Aquila;Montereale;286;30;316;39;40;24;616;433;46%;7%
Teramo;Civitella del Tronto;102;18;120;19;19;10;220;343;46%;5%
Teramo;Pietracamela;6;-;6;-;-;-;13;4;46%;0%
Teramo;Cortino;54;3;57;4;4;2;136;183;40%;2%
Teramo;Valle Castellana;105;13;118;24;24;10;267;322;39%;4%
L'Aquila;Pizzoli;44;-;44;9;9;5;113;68;39%;0%
Teramo;Fano Adriano;8;1;9;1;1;1;24;35;33%;3%
Teramo;Castelli;19;33;52;11;11;3;60;103;32%;32%
L'Aquila;Campotosto;33;25;58;2;2;1;124;342;27%;7%
L'Aquila;Barete;13;2;15;2;2;2;52;37;25%;5%
L'Aquila;Cagnano Amiterno;24;7;31;5;5;2;128;130;19%;5%
Rieti;Antrodoco;113;7;120;41;41;27;171;83;66%;8%
Rieti;Cittaducale;66;9;75;30;30;15;103;38;64%;24%
Rieti;Castel Sant'Angelo;35;3;38;6;6;6;55;45;64%;7%
Rieti;Rivodutri;12;1;13;1;1;-;19;6;63%;17%
Rieti;Rieti;192;25;217;70;70;48;319;150;60%;17%
Rieti;Borgo Velino;27;3;30;11;11;7;45;13;60%;23%
Rieti;Posta;100;12;112;36;36;22;179;136;56%;9%
Rieti;Cantalice;32;2;34;7;7;4;61;37;52%;5%
Rieti;Leonessa;325;31;356;124;124;69;645;628;50%;5%
Rieti;Poggio Bustone;14;-;14;6;6;5;32;14;44%;0%
Rieti;Cittareale;88;16;104;36;36;25;203;280;43%;6%
Rieti;Borbona;63;19;82;27;27;13;163;140;39%;14%
Rieti;Micigliano;10;-;10;2;2;2;26;7;38%;0%
Rieti;Amatrice;283;365;648;187;187;100;848;3.485;33%;10%
Rieti;Accumoli;38;65;103;35;35;12;234;1.371;16%;5%
Terni;Ferentillo;38;3;41;7;7;4;46;89;83%;3%
Terni;Arrone;22;1;23;8;8;3;29;52;76%;2%
Perugia;Vallo di Nera;15;2;17;3;3;1;20;54;75%;4%
Perugia;Sant'Anatolia di Narco;31;4;35;6;6;1;43;29;72%;14%
Perugia;Scheggino;18;-;18;1;1;-;25;33;72%;0%
Perugia;Spoleto;641;38;679;111;107;43;1.021;682;63%;6%
Perugia;Monteleone di Spoleto;49;4;53;25;25;14;80;64;61%;6%
Perugia;Sellano;64;11;75;23;23;11;106;130;60%;8%
Perugia;Poggiodomo;16;1;17;6;6;-;27;47;59%;2%
Perugia;Cascia;306;39;345;195;195;111;549;470;56%;8%
Perugia;Norcia;728;196;924;449;449;230;1.324;2.236;55%;9%
Perugia;Cerreto di Spoleto;53;7;60;20;20;8;100;82;53%;9%
Terni;Montefranco;13;1;14;4;4;-;25;13;52%;8%
Perugia;Preci;94;32;126;48;48;20;236;418;40%;8%
Terni;Polino;1;-;1;-;-;-;5;-;20%;-
